ACY32014.1,qseqid,sseqid,0,evalue,qcovhsp,bitscore
ACY32015.1,qseqid,sseqid,0,evalue,qcovhsp,bitscore
ACY32016.1,qseqid,sseqid,0,evalue,qcovhsp,bitscore
ACY32017.1,qseqid,sseqid,0,evalue,qcovhsp,bitscore
ACY32018.1,qseqid,sseqid,0,evalue,qcovhsp,bitscore
ACY32019.1,qseqid,sseqid,0,evalue,qcovhsp,bitscore
ACY32020.1,qseqid,sseqid,0,evalue,qcovhsp,bitscore
ACY32021.1,qseqid,sseqid,0,evalue,qcovhsp,bitscore
ACY32022.1,qseqid,sseqid,0,evalue,qcovhsp,bitscore
ACY32023.1,qseqid,sseqid,0,evalue,qcovhsp,bitscore
ACY32024.1,qseqid,sseqid,0,evalue,qcovhsp,bitscore
ACY32025.1,qseqid,sseqid,0,evalue,qcovhsp,bitscore
ACY32026.1,qseqid,sseqid,0,evalue,qcovhsp,bitscore
ACY32027.1,qseqid,sseqid,0,evalue,qcovhsp,bitscore
ACY32028.1,qseqid,sseqid,0,evalue,qcovhsp,bitscore
ACY32029.1,qseqid,sseqid,0,evalue,qcovhsp,bitscore
ACY32030.1,qseqid,sseqid,0,evalue,qcovhsp,bitscore
ACY32031.1,qseqid,sseqid,0,evalue,qcovhsp,bitscore
ACY32032.1,qseqid,sseqid,0,evalue,qcovhsp,bitscore
ACY32033.1,qseqid,sseqid,0,evalue,qcovhsp,bitscore
ACY32034.1,qseqid,sseqid,0,evalue,qcovhsp,bitscore
ACY32035.1,qseqid,sseqid,0,evalue,qcovhsp,bitscore
ACY32036.1,qseqid,sseqid,0,evalue,qcovhsp,bitscore
ACY32037.1,qseqid,sseqid,0,evalue,qcovhsp,bitscore
ACY32038.1,qseqid,sseqid,0,evalue,qcovhsp,bitscore
ACY32039.1,qseqid,sseqid,0,evalue,qcovhsp,bitscore
ACY32040.1,qseqid,sseqid,0,evalue,qcovhsp,bitscore
ACY32041.1,qseqid,sseqid,0,evalue,qcovhsp,bitscore
ACY32042.1,qseqid,sseqid,0,evalue,qcovhsp,bitscore
ACY32043.1,qseqid,sseqid,0,evalue,qcovhsp,bitscore
ACY32044.1,qseqid,sseqid,0,evalue,qcovhsp,bitscore
ACY32045.1,qseqid,sseqid,0,evalue,qcovhsp,bitscore
ACY32046.1,qseqid,sseqid,0,evalue,qcovhsp,bitscore
ACY32047.1,qseqid,sseqid,0,evalue,qcovhsp,bitscore
ACY32048.1,qseqid,sseqid,0,evalue,qcovhsp,bitscore
ACY32049.1,qseqid,sseqid,0,evalue,qcovhsp,bitscore
ACY32050.1,qseqid,sseqid,0,evalue,qcovhsp,bitscore
ACY32051.1,qseqid,sseqid,0,evalue,qcovhsp,bitscore
ACY32052.1,qseqid,sseqid,0,evalue,qcovhsp,bitscore
ACY32053.1,qseqid,sseqid,0,evalue,qcovhsp,bitscore
ACY32054.1,qseqid,sseqid,0,evalue,qcovhsp,bitscore
ACY32055.1,qseqid,sseqid,0,evalue,qcovhsp,bitscore
ACY32056.1,qseqid,sseqid,0,evalue,qcovhsp,bitscore
ACY32057.1,qseqid,sseqid,0,evalue,qcovhsp,bitscore
ACY32058.1,qseqid,sseqid,0,evalue,qcovhsp,bitscore
ACY32059.1,qseqid,sseqid,0,evalue,qcovhsp,bitscore
ACY32060.1,qseqid,sseqid,0,evalue,qcovhsp,bitscore
ACY32061.1,qseqid,sseqid,0,evalue,qcovhsp,bitscore
ACY32062.1,qseqid,sseqid,0,evalue,qcovhsp,bitscore
ACY32063.1,qseqid,sseqid,0,evalue,qcovhsp,bitscore
ACY32064.1,qseqid,sseqid,0,evalue,qcovhsp,bitscore
ACY32065.1,qseqid,sseqid,0,evalue,qcovhsp,bitscore
ACY32066.1,qseqid,sseqid,0,evalue,qcovhsp,bitscore
ACY32067.1,qseqid,sseqid,0,evalue,qcovhsp,bitscore
ACY32068.1,qseqid,sseqid,0,evalue,qcovhsp,bitscore
ACY32069.1,qseqid,sseqid,0,evalue,qcovhsp,bitscore
ACY32070.1,qseqid,sseqid,0,evalue,qcovhsp,bitscore
ACY32071.1,qseqid,sseqid,0,evalue,qcovhsp,bitscore
ACY32072.1,qseqid,sseqid,0,evalue,qcovhsp,bitscore
ACY32073.1,qseqid,sseqid,0,evalue,qcovhsp,bitscore
