ACY32017.1,2519024152,35.8,1e-32,97,298
ACY32018.1,2519023474,40.56,2e-42,96,366
ACY32018.1,2519027161,37.5,2e-33,97,304
ACY32031.1,2519024473,37.91,7e-69,77,586
ACY32075.1,2519022681,39.69,1e-42,94,371
ACY32080.1,2519023946,33.59,2e-57,98,491
CCP46358.1,2519023929,45.86,2e-66,99,531
CCP46394.1,2519024767,55.87,8e-129,99,964
ABG94294.1,2519024771,59.14,2e-164,100,1205
ABG96268.1,2519023363,44.44,2e-40,83,346
ABG96379.1,2519021686,62.92,2e-172,100,1257
ABG96384.1,2519021687,54.04,6e-68,96,530
ABG96436.1,2519021688,53.85,4e-87,96,666
ABG96437.1,2519021689,59.11,2e-109,98,822
ABG96440.1,2519023933,46.92,2e-71,95,571
ABG96442.1,2519023362,56.46,3e-149,100,1113
ABG97567.1,2519026134,55.42,3e-81,100,625
ABG97572.1,2519024762,62.73,4e-114,91,854
ABG97573.1,2519024764,68.79,8e-74,88,565
ABG97574.1,2519024765,75.0,7e-158,100,1141
ABG97575.1,2519024766,69.33,0.0,94,1930
ABG97576.1,2519024768,66.67,5e-125,100,918
ABG97577.1,2519024769,80.84,9e-164,96,1182
ABG97578.1,2519024770,86.65,0.0,96,1549
ABG97580.1,2519024772,70.72,6e-150,100,1092
ABG97584.1,2519027264,42.86,3e-75,88,615
ABG97587.1,2519024776,65.41,2e-66,60,521
ABG97588.1,2519024779,72.41,0.0,94,1520
ABG97589.1,2519024780,65.45,0.0,98,1338
ABG97590.1,2519024781,56.89,0.0,99,1352
ABG97591.1,2519024782,60.64,2e-79,93,607
ABG97594.1,2519023354,53.12,4e-88,99,679
ABG97598.1,2519024785,71.24,0.0,95,1451
ABH00056.1,2519025956,47.44,3e-41,85,346
