ACY32015.1,2528819476,89.29,0.0,99,1786
ACY32016.1,2528819478,62.86,0.0,99,1547
ACY32042.1,2528819138,62.37,2e-158,99,1163
ACY32043.1,2528819137,48.88,0.0,99,1633
ACY32054.1,2528817965,27.49,4e-38,99,356
ACY32072.1,2528820464,41.95,1e-77,98,610
ACY32075.1,2528819170,48.19,2e-71,92,563
ACY32075.1,2528819171,32.54,3e-31,93,289
ACY32083.1,2528820430,40.06,5e-78,95,623
ACY32097.1,2528818914,82.01,0.0,98,1475
ACY32101.1,2528818697,48.05,1e-48,47,406
ACY32105.1,2528819671,37.18,6e-66,97,539
CCP46331.1,2528819453,58.06,0.0,100,1409
CCP46332.1,2528818379,52.19,9e-92,97,700
CCP46376.1,2528818567,41.85,6e-92,51,743
CCP46387.1,2528819841,30.98,2e-44,92,397
ABG96326.1,2528818617,37.99,5e-45,91,388
ABG97576.1,2528819562,40.59,4e-61,99,493
ABG97584.1,2528817836,44.11,2e-88,88,702
